"name","address","gmap_id","description","category","avg_rating","num_of_reviews","price","hours","MISC","state"
"Foodland Minimarket Inc","","0x89c25b2b7dc67783:0x52d6eb0abfdf5071","","['Kosher grocery store', 'Service establishment', 'Grocery store']","4.6","8","","[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]","{'Highlights': ['Great produce']}","Open 24 hours"
"Code 4 Driving School LLC","","0x8090536cac079115:0x741f89670f45312e","","['Driving school', 'Service establishment']","4.5","18","","","",""
"Anna Maria Island Online","","0x88c3103c3c4d2fa1:0x61b2a9570d0299c8","","['Travel agency', 'Service establishment', 'Vacation home rental agency']","4.2","5","","[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]","","Temporarily closed"
"StarLite Diesel","","0x87528a560d8ab82f:0xc3a03e5c640e6e83","","['Wholesaler', 'Service establishment']","4.4","17","","[['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '1–3PM'], ['Thursday', 'Closed']]","","Closed ⋅ Opens 1PM Wed"
"The Smart Block","","0x8702dd00197c2575:0x69f8f4bbe290828","","['Dairy supplier', 'Dairy farm equipment supplier', 'Service establishment']","5.0","4","","[['Thursday', '8AM–6PM'], ['Friday', '8AM–6PM'], ['Saturday', '8AM–6PM'], ['Sunday', 'Closed'], ['Monday', '8AM–6PM'], ['Tuesday', '8AM–6PM'], ['Wednesday', '8AM–6PM']]","","Closed ⋅ Opens 8AM"
"Josh's Lock & Key","","0x872271cbd894cd57:0xbdcd1c2093669b8f","","['Locksmith', 'Service establishment']","4.7","87","","[['Wednesday', '6AM–8PM'], ['Thursday', '6AM–8PM'], ['Friday', '6AM–8PM'], ['Saturday', '6AM–8PM'], ['Sunday', 'Closed'], ['Monday', '6AM–8PM'], ['Tuesday', '6AM–8PM']]","","Closed ⋅ Opens 6AM Thu"
"Blackbird Studio","","0x89acd7197f2cf51b:0x68172cd19f75cc7d","","['Tattoo shop', 'Service establishment']","4.0","17","","[['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '11AM–7PM']]","{'Service options': ['Delivery']}","Open ⋅ Closes 7PM"
"Megan Dailor Photography","","0x89d6ca71c145720d:0x8efcdf41751a7395","","['Wedding photographer', 'Service establishment']","5.0","26","","[['Wednesday', '9AM–9PM'], ['Thursday', '9AM–9PM'], ['Friday', '9AM–9PM'], ['Saturday', '9AM–9PM'], ['Sunday', 'Closed'], ['Monday', '9AM–9PM'], ['Tuesday', '9AM–9PM']]","","Open ⋅ Closes 9PM"
"GScreations","","0x88d91dd0d7b9b943:0x7e05d4dc61abfe5f","","['Auto parts manufacturer', 'Service establishment']","4.7","17","","[['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM']]","","Closed ⋅ Opens 9AM"
"BuyItLive","","0x535e9ff4e02b1dff:0x6b371537a0199ba0","","['E-commerce service', 'Service establishment']","4.7","18","","[['Wednesday', '12–9PM'], ['Thursday', '12–9PM'], ['Friday', '12–9PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '12–9PM'], ['Tuesday', '12–9PM']]","","Closed ⋅ Opens 12PM"
"FixedOPS Marketing","","0x5495bda1c4917597:0xd347784222350e1f","","['Marketing agency', 'Service establishment']","5.0","7","","[['Tuesday', '7AM–5PM'], ['Wednesday', '7AM–5PM'], ['Thursday', '7AM–5PM'], ['Friday', '7AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7AM–5PM']]","{'Service options': ['Online appointments'], 'Health & safety': ['Appointment required', 'Mask required', 'Staff wear masks', 'Staff get temperature checks']}","Closed ⋅ Opens 7AM Wed"
"European Automotive Performance MN","","0x52b3354ec98522bd:0x2e05eaad1219f39f","","['Storage facility', 'Service establishment']","3.9","67","","[['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM'], ['Thursday', '9AM–6PM'], ['Friday', '9AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–6PM']]","","Open ⋅ Closes 6PM"
"Water Mold Fire Restoration of Washington DC","","0x89b7b7b139f72337:0x1ec4f89325c222c7","","['Water damage restoration service', 'Air duct cleaning service', 'Asbestos testing service', 'Building restoration service', 'Carpenter', 'Carpet cleaning service', 'Contractor', 'Service establishment', 'Fire damage restoration service', 'Home inspector', 'Plumber']","4.9","58","","[['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours']]","{'Service options': ['Online estimates'], 'Health & safety': ['Staff wear masks']}","Open 24 hours"
"Landscaping","","0x88f537650aaecec7:0x647c7c5cdef8a6db","","['Entertainer', 'Service establishment']","5.0","1","","[['Tuesday', '7AM–10PM'], ['Wednesday', '7AM–10PM'], ['Thursday', '7AM–10PM'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', '7AM–10PM'], ['Monday', '7AM–10PM']]","","Open ⋅ Closes 10PM"
"Willow's Dog Wash Mobile Grooming","","0x52b33ed3d0b2f5f3:0xf1abb18de83944eb","","['Pet groomer', 'Service establishment']","4.9","8","","[['Tuesday', '8AM–4PM'], ['Wednesday', '8AM–4PM'], ['Thursday', '8AM–4PM'], ['Friday', '8AM–4PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–4PM']]","","Closed ⋅ Opens 8AM"
"Keller Williams Realty-Taunton Area","","0x89e4f40367838123:0x96a733b7e9d8d77c","","['Real estate agency', 'Service establishment', 'Real estate consultant']","5.0","5","","[['Tuesday', '8:30AM–7PM'], ['Wednesday', '8:30AM–7PM'], ['Thursday', '8:30AM–7PM'], ['Friday', '8:30AM–7PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–7PM']]","","Closed ⋅ Opens 8:30AM"
"TechFire","","0x88dcadb5a582543b:0x57a159ad932094e3","","['Electronics store', 'Service establishment']","5.0","2","","[['Tuesday', '8:30AM–4:30PM'], ['Wednesday', '8:30AM–4:30PM'], ['Thursday', '8:30AM–4:30PM'], ['Friday', '7:30AM–3:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–4:30PM']]","{'From the business': ['Identifies as Black-owned', 'Identifies as women-led'], 'Highlights': ['LGBTQ friendly'], 'Payments': ['Debit cards', 'NFC mobile payments', 'Credit cards']}","Closed ⋅ Opens 8:30AM"
"Caputo's Online","","0x8752f51030f33649:0xdc724ca2e166d110","","['Italian grocery store', 'Charcuterie', 'Cheese shop', 'Chocolate shop', 'Service establishment', 'Gourmet grocery store']","5.0","6","","[['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM']]","{'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits']}","Closed ⋅ Opens 9AM"
"Home Watch Academy - Your Home Watch Professionals","","0x88db1e740caec381:0x9acac2bd615278a2","","['Training school', 'Service establishment']","5.0","8","","[['Monday', '9AM–7PM'], ['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–7PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–7PM'], ['Sunday', 'Closed']]","","Closed ⋅ Opens 9AM Tue"
"Alwaze Apparel LLC.","","0x89c6d5ab5fa01d2f:0xb942f233d3e20c20","","['Print shop', 'Service establishment', 'Manufacturer']","5.0","18","","[['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM'], ['Thursday', '9AM–6PM'], ['Friday', '9AM–3PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]","{'Service options': ['Delivery', 'Online appointments'], 'Health & safety': ['Mask required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits'], 'Payments': ['Debit cards', 'Credit cards']}","Closed ⋅ Opens 9AM Tue"
"Wish Beauty & Lashes","","0x89d1347e9051c96b:0x77499463609221d4","","['Beauty salon', 'Service establishment']","5.0","17","","[['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', 'Closed'], ['Saturday', '10AM–3PM'], ['Sunday', 'Closed']]","{'From the business': ['Identifies as women-led'], 'Highlights': ['LGBTQ friendly']}","Permanently closed"
"PoleActive","","0x80c2c78246bd01ff:0xac8fb932cb4ec164","","['Clothing store', 'Service establishment']","3.0","2","","[['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours']]","","Open 24 hours"
"Pareto","","0x87d8cb3db1e4b8b1:0x609ae7eb6b94b485","","['Business administration service', 'Service establishment']","5.0","18","","[['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Closed'], ['Sunday', 'Open 24 hours']]","{'From the business': ['Identifies as women-led']}","Open 24 hours"
"Cursos de Reposteria, Pasteleria y Panaderia │ Club de Reposteria","","0x88d9ad6596313849:0x72be6e2baaff5d6a","","['Culinary school', 'Service establishment']","5.0","2","","[['Monday', '9AM–7PM'], ['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–7PM'], ['Friday', '9AM–7PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]","","Closed ⋅ Opens 9AM"
"What's Your Decade","","0x42ffe090f9f1e4ef:0xa3bfca279f7f243d","","['Jewelry store', 'Service establishment']","5.0","16","","[['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours']]","","Open 24 hours"
"GD Energy, LLC","","0x5323e19c20ed0c07:0xfca4c8bf764890c2","","['Oil field equipment supplier', 'Service establishment']","5.0","2","","","",""
"Virtual Tax Associates","","0x52b2ed74805fc4e1:0x233e76ae56ed7590","","['Tax preparation', 'Service establishment']","5.0","13","","[['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours']]","{'From the business': ['Identifies as women-led'], 'Service options': ['Online appointments'], 'Highlights': ['LGBTQ friendly']}","Open 24 hours"
"Myle Vapor","","0x89c2fb649853298d:0xcf9a08dffce68dcf","","['Distribution service', 'Service establishment', 'Vaporizer store']","4.0","38","","[['Monday', '9:30AM–5:30PM'], ['Tuesday', '9:30AM–5:30PM'], ['Wednesday', '9:30AM–5:30PM'], ['Thursday', '9:30AM–5:30PM'], ['Friday', '9:30AM–5:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]","","Closed ⋅ Opens 9:30AM"
"Basaldua Lawn Care","","0x866f7f6529849275:0xe556152c6a8adf7c","","['Landscaper', 'Service establishment']","3.4","5","","[['Sunday', 'Closed'], ['Monday', '9AM–8PM'], ['Tuesday', '9AM–8PM'], ['Wednesday', '9AM–8PM'], ['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM'], ['Saturday', '9AM–8PM']]","","Closed ⋅ Opens 9AM Mon"
"Polar Cruises","","0x4057261094f58155:0xd76d410c000949a7","","['Cruise agency', 'Service establishment']","2.2","6","","[['Sunday', 'Closed'], ['Monday', '8:30AM–4:30PM'], ['Tuesday', '8:30AM–4:30PM'], ['Wednesday', '8:30AM–4:30PM'], ['Thursday', '8:30AM–4:30PM'], ['Friday', '8:30AM–4:30PM'], ['Saturday', 'Closed']]","{'Service options': ['Online appointments']}","Closed ⋅ Opens 8:30AM Mon"
"Blais Racing Services Inc.","","0x80c3622747cbffff:0x1fafd55832a76546","","['Consultant', 'Service establishment', 'Motorcycle parts store']","4.6","8","","[['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', 'Closed'], ['Saturday', 'Closed']]","","Closed ⋅ Opens 9AM Tue"
"Dynamic Stone Care","","0x88d911539b3aab27:0x61fba8734728ae95","","['Floor refinishing service', 'Service establishment', 'Floor sanding and polishing service', 'Marble contractor', 'Tile contractor']","4.8","16","","[['Sunday', 'Closed'], ['Monday', '7AM–7PM'], ['Tuesday', '7AM–7PM'], ['Wednesday', '7AM–7PM'], ['Thursday', '7AM–7PM'], ['Friday', '7AM–7PM'], ['Saturday', '10:30AM–3:30PM']]","{'From the business': ['Identifies as women-led']}","Closed ⋅ Opens 7AM Mon"
"Explorer Chick","","0x8841ad3170a9979b:0x2ace1d3268b16708","","['Tour operator', 'Service establishment']","5.0","64","","[['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', 'Closed']]","","Closed ⋅ Opens 9AM Mon"
"JG Boudoir","","0x80844a213c461603:0xa03c19393c42a649","","['Photographer', 'Service establishment']","5.0","18","","[['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', '9AM–5PM']]","{'Service options': ['Online appointments'], 'Health & safety': ['Appointment required']}","Closed ⋅ Opens 9AM Tue"
"Disney On Ice","","0x88c33dfa7dce1fb5:0x28183a0c2f62c86e","","['Entertainer', 'Service establishment']","4.3","3","","","",""
"Allen Brook","Allen Brook, New York","0x4ccbef5836f35aa1:0x29ef6b5b0ad9e69e","","['River']","4.0","1","","","",""
"Water Fire Mold Restoration","","0x880e504fafbb880f:0xff5d631b2af2a15a","","['Water damage restoration service', 'Service establishment']","4.0","2","","[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]","","Open 24 hours"
"Dabulance","","0x89e6a32179e7dd15:0x46e9f274a87482cd","","['Transportation service', 'Service establishment']","3.9","17","","","",""
"Skatsz Satin Lined Beanie and Hats","","0x89b7ddf4ec20644f:0xb435cade04d60c3d","","['Clothing store', 'Service establishment', 'Fashion accessories store', 'Hat shop', ""Men's clothing store"", 'Uniform store', ""Women's clothing store""]","4.9","48","","[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]","{'From the business': ['Identifies as Black-owned', 'Identifies as women-led'], 'Service options': ['Delivery'], 'Payments': ['Debit cards', 'Credit cards']}","Open 24 hours"
"Shades Unlimited, Inc.","","0x866f7f988b69b75b:0xa732341fc38fab63","","['Construction company', 'Service establishment', 'Outdoor furniture store']","5.0","5","","[['Sunday', '8:30AM–7PM'], ['Monday', '8:30AM–7PM'], ['Tuesday', '8:30AM–7PM'], ['Wednesday', '8:30AM–7PM'], ['Thursday', '8:30AM–7PM'], ['Friday', '8:30AM–7PM'], ['Saturday', '8:30AM–7PM']]","","Closed ⋅ Opens 8:30AM"
"HurricaneShutterHardware.com","","0x88d927fc8de31f99:0x5fa595a64bd78f88","","['Hardware store', 'Service establishment', 'Protective clothing supplier']","5.0","2","","[['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', '9AM–5PM']]","","Closed ⋅ Opens 9AM Mon"
"DAM Creative Tee Public","","0x54b8d5c8a9502a2b:0x80b96f8c213cf638","","['Clothing store', ""Children's clothing store"", 'Custom t-shirt store', 'Service establishment', 'Gift shop', ""Men's clothing store"", ""Women's clothing store""]","5.0","1","","[['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]","","Temporarily closed"
"Tweed Wolf","","0x89c2598edd298ca1:0xad92bb09334c27d2","","['Photography service', 'Service establishment']","5.0","48","","[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]","","Open 24 hours"
"Kasa Karly","","0x88d9b72f478e2705:0x4d6642b81ec93002","","['Fashion accessories store', 'Service establishment']","5.0","8","","[['Sunday', 'Closed'], ['Monday', '10AM–4PM'], ['Tuesday', '10AM–4PM'], ['Wednesday', '10AM–4PM'], ['Thursday', '10AM–4PM'], ['Friday', '10AM–4PM'], ['Saturday', '10AM–4PM']]","{'From the business': ['Identifies as women-led'], 'Highlights': ['LGBTQ friendly'], 'Payments': ['Debit cards', 'Credit cards']}","Closed ⋅ Opens 10AM Mon"
"Shannon Lee Strategy","","0x54b8c78708f65555:0xf2aa7d07aea47403","","['Marketing agency', 'Service establishment']","5.0","25","","[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–12PM']]","{'From the business': ['Identifies as women-led']}","Closed ⋅ Opens 9AM Mon"
"Right Now Enterprises","","0x87f7e527426bcd01:0xb55c67f76408ae72","","['Business management consultant', 'Service establishment']","5.0","34","","[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '2–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM']]","","Closed ⋅ Opens 9AM Mon"
"National Health Care Provider Solutions","","0x80c8c5cf464b6c57:0x8b12a6888d0a85a6","","['Medical certificate service', 'Service establishment']","5.0","56","","[['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]","","Open 24 hours"
"Plant Chics","","0x88d9b3faf4843565:0x3eeb0b5bf11e18ab","","['Health consultant', 'Service establishment']","5.0","18","","[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '12–6AM'], ['Thursday', '9AM–6PM'], ['Friday', '9AM–6PM']]","","Closed ⋅ Opens 9AM Mon"
"The Pad LLC","","0x89b7a571fa4be78b:0x7aa368398b94e86a","","['Pet groomer', 'Service establishment']","4.7","18","","[['Saturday', '11AM–5PM'], ['Sunday', '12–1PM'], ['Monday', '12–1PM'], ['Tuesday', '11AM–5PM'], ['Wednesday', '12–1PM'], ['Thursday', '11AM–5PM'], ['Friday', '11AM–5PM']]","{'From the business': ['Identifies as Black-owned', 'Identifies as women-led']}","Closed ⋅ Opens 11AM"
"Walkabout Toy Aussies","","0x8856f3dae9ce76ad:0xdffb785c3e02314e","","['Pet groomer', 'Service establishment']","5.0","1","","[['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]","","Open 24 hours"
"Floyd Taxi Service","","0x888aa3132795922f:0xbc8afd4daa09aa1","","['Taxi service', 'Service establishment', 'Transportation service']","2.8","65","","","",""
"Cake Art by Shweta","","0x8640c33cfe0adec9:0x122b54460e653092","","['Bakery', 'Service establishment']","4.8","4","","[['Saturday', '8AM–10PM'], ['Sunday', '8AM–10PM'], ['Monday', '8AM–10PM'], ['Tuesday', '8AM–10PM'], ['Wednesday', '8AM–10PM'], ['Thursday', '8AM–10PM'], ['Friday', '8AM–10PM']]","{'Service options': ['Delivery']}","Closed ⋅ Opens 8AM"
"Around Town Locksmith","","0x866f94103d233a93:0xb49d1ae4322618","","['Locksmith', 'Service establishment']","5.0","14","","[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM'], ['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM']]","","Closed ⋅ Opens 8AM Mon"
"RLO Training","","0x54905d4f7fb77023:0xeb980cd74b611b29","","['Business management consultant', 'Service establishment']","5.0","18","","[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–4PM'], ['Tuesday', '8AM–4PM'], ['Wednesday', '8AM–4PM'], ['Thursday', '8AM–4PM'], ['Friday', '8AM–4PM']]","","Closed ⋅ Opens 8AM Mon"
"CAB TO GO","","0x88de056881d1a85b:0xd2348b2959b64581","","['Taxi service', 'Service establishment', 'Taxicab Stand']","3.4","8","","","",""
"King Jamaika","","0x80c2cb646f264ec3:0x3528d817f97010e6","","['Entertainer', 'Service establishment']","5.0","5","","[['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]","","Open 24 hours"
"Laura Michaud Photography","","0x89e433422b95404d:0x1e68126f4b67331e","","['Photographer', 'Service establishment']","5.0","2","","[['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]","{'Service options': ['Online appointments'], 'Health & safety': ['Appointment required']}","Open 24 hours"
"Sitter's Movers","","0x80dc007242829c4b:0x2826331196b87631","","['Mover', 'Service establishment']","4.7","8","","[['Friday', 'Closed'], ['Saturday', '9AM–6PM'], ['Sunday', 'Closed'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM'], ['Thursday', '9AM–6PM']]","","Closed ⋅ Opens 9AM Sat"
"Coffee and a Comic","","0x80dd2189d30496f1:0xeea940f8e3df24b6","","['Comic book store', 'Service establishment']","5.0","8","","[['Friday', '8AM–10PM'], ['Saturday', '8AM–10PM'], ['Sunday', '8AM–10PM'], ['Monday', '8AM–10PM'], ['Tuesday', '8AM–10PM'], ['Wednesday', '8AM–10PM'], ['Thursday', '8AM–10PM']]","{'Payments': ['Credit cards']}","Open ⋅ Closes 10PM"
"Platinumelite Travels","","0x89b1114c3a032907:0x6920ba9f95ceeadb","","['Tourism', 'Service establishment']","5.0","1","","[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]","","Open 24 hours"
"TurnoverBnB","","0x7c006e7680ae4ccd:0x6655e684dce0eae2","","['Software company', 'Cleaning service', 'Service establishment']","4.8","53","","","","Open now"
"HOS247 ELD","","0x808f7b8e3af911c7:0x30c3548475428c4b","","['Software company', 'Service establishment']","4.1","8","","[['Friday', '5AM–9PM'], ['Saturday', '8AM–4PM'], ['Sunday', '8AM–4PM'], ['Monday', '5AM–9PM'], ['Tuesday', '5AM–9PM'], ['Wednesday', '5AM–9PM'], ['Thursday', '5AM–9PM']]","","Open ⋅ Closes 9PM"
"Bits and Tokens","","0x88d911ce9069d059:0xd23859b2e06647f5","","['Media company', 'Service establishment']","5.0","6","","[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]","","Open 24 hours"
"Stockdog Gems","","0x80db8bafbc92dc33:0x7696e79ddbf201c5","","['Jewelry designer', 'Service establishment', 'Jeweler']","3.0","2","","","{'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits']}",""
"MoonWick Candle Co.","","0x87df33f4bf03b637:0x424f6c867c56a4f4","","['Candle store', 'Service establishment']","4.7","6","","[['Friday', '9AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM']]","","Open ⋅ Closes 5PM"
"Shimmer and Shine","","0x54959931f82097f5:0x82ee922c2e8bcac5","","['Life coach', 'Service establishment']","5.0","1","","[['Friday', '7AM–7PM'], ['Saturday', '7AM–7PM'], ['Sunday', '7AM–7PM'], ['Monday', '7AM–7PM'], ['Tuesday', '7AM–7PM'], ['Wednesday', '7AM–7PM'], ['Thursday', '7AM–7:30PM']]","{'From the business': ['Identifies as women-led']}","Open ⋅ Closes 7PM"
"Best Paint by Numbers","","0x89c25908d7ff547f:0x26169d5275ecc596","","['Art dealer', 'Service establishment']","5.0","116","","[['Friday', 'Open 24 hours'], ['Saturday', '9AM–2PM'], ['Sunday', 'Closed'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]","","Open ⋅ Closes 12AM"
"A2Z COLLISION","","0x8824cfd4767085f5:0x3c81ce1d50509ac9","","['Used car dealer', 'Service establishment']","4.9","8","","[['Friday', '10AM–7PM'], ['Saturday', '10AM–7PM'], ['Sunday', 'Closed'], ['Monday', '10AM–7PM'], ['Tuesday', '10AM–7PM'], ['Wednesday', '10AM–7PM'], ['Thursday', '10AM–7PM']]","","Closed ⋅ Opens 10AM"
"CANNAPAGES","","0x876c7e3c00000001:0xf7adfc448d79d822","","['Publisher', 'Service establishment', 'Graphic designer', 'Internet marketing service']","5.0","5","","[['Friday', '9AM–6PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM'], ['Thursday', '9AM–6PM']]","","Closed ⋅ Opens 9AM"
